;SSR;MSE;nr_variables_deleted;nr_correct_variables_deleted
195;0.3006705728471205;0.012026822913884823;7;0
196;0.31803826284479136;0.012721530513791655;7;0
197;0.30230542801261756;0.012092217120504704;7;0
198;0.3254764749003033;0.013019058996012134;7;0
199;0.3212478463343912;0.012849913853375645;7;0
200;0.2956917713537152;0.011827670854148615;7;0
201;0.33336295934717775;0.01333451837388711;9;2
202;0.3451778892338597;0.013807115569354392;8;1
203;0.30400564376541145;0.012160225750616453;7;0
204;0.29708659096658696;0.011883463638663478;7;0
205;0.29466780603717474;0.01178671224148699;7;0
206;0.3433755794086934;0.013735023176347734;7;0
207;0.3358181619026637;0.013432726476106549;7;0
208;0.3330363065956268;0.01332145226382507;9;2
209;0.3044002552156904;0.012176010208627613;7;0
210;0.3318435688883119;0.013273742755532477;9;2
211;0.3097767360784018;0.012391069443136074;7;0
212;0.34522272363096285;0.013808908945238514;8;1
213;0.3450163884300261;0.013800655537201043;9;2
214;0.3263129561755676;0.013052518247022702;9;2
215;0.3377645704688965;0.01351058281875586;9;2
216;0.32497993834164635;0.012999197533665852;9;2
217;0.3322488088444245;0.013289952353776977;9;2
218;0.3457395347853437;0.01382958139141375;8;1
219;0.32267323302575607;0.01290692932103024;9;2
220;0.3458696007245564;0.013834784028982259;8;1
221;0.33154773041750557;0.013261909216700219;7;0
222;0.3335512575073556;0.013342050300294226;7;0
223;0.3068035509623979;0.012272142038495915;7;0
224;0.33795053669420205;0.01351802146776808;7;0
225;0.3455263262444574;0.013821053049778296;8;1
226;0.30003250896790074;0.012001300358716029;7;0
227;0.334846590495074;0.01339386361980296;9;2
228;0.3437309323513855;0.013749237294055423;7;0
229;0.33152969908365215;0.013261187963346079;9;2
230;0.3234743872269897;0.012938975489079588;7;0
231;0.30976564015862956;0.012390625606345183;7;0
232;0.3457034329026121;0.01382813731610448;8;1
233;0.33727105053969314;0.01349084202158773;9;2
234;0.32449525353558434;0.012979810141423378;9;2
235;0.2970840031280665;0.011883360125122653;7;0
236;0.32946617356901986;0.013178646942760795;9;2
237;0.29245641357895974;0.011698256543158394;7;0
238;0.328127073062962;0.013125082922518481;9;2
239;0.3456160803898624;0.013824643215594502;8;1
240;0.3455331516763148;0.013821326067052593;8;1
241;0.32498890890432675;0.012999556356173069;7;0
242;0.3184812992666992;0.012739251970667966;7;0
243;0.34379022653379576;0.013751609061351828;9;2
244;0.34551874932723514;0.013820749973089408;8;1
245;0.29904231572114237;0.011961692628845697;7;0
246;0.3381280900953181;0.013525123603812727;7;0
247;0.3458997432685015;0.013835989730740062;8;1
248;0.3178110443158094;0.01271244177263238;7;0
249;0.33444270721853886;0.01337770828874155;7;0
250;0.3446014004273556;0.013784056017094226;9;2
251;0.32285349034993505;0.012914139613997401;7;0
252;0.32183640042316314;0.012873456016926528;9;2
253;0.3453725503684691;0.013814902014738763;8;1
254;0.3349218532479353;0.013396874129917411;7;0
255;0.3396948350634816;0.013587793402539268;7;0
256;0.32605313826633575;0.013042125530653433;9;2
257;0.29714649083763195;0.011885859633505273;7;0
258;0.33019227685881286;0.013207691074352514;9;2
259;0.3179730598463451;0.012718922393853806;7;0
260;0.33148499355175615;0.013259399742070245;9;2
261;0.3080607340305214;0.012322429361220855;7;0
262;0.34602902231329985;0.013841160892531994;8;1
263;0.328964963913783;0.013158598556551316;7;0
264;0.31020905804928706;0.012408362321971485;7;0
265;0.3339534548009165;0.013358138192036661;7;0
266;0.32965905927303757;0.013186362370921505;9;2
267;0.34029602566271183;0.01361184102650847;9;2
268;0.3372167063165869;0.013488668252663472;9;2
269;0.34535337129858196;0.013814134851943279;8;1
270;0.31761511429413236;0.012704604571765293;7;0
271;0.32273408013134075;0.012909363205253628;7;0
272;0.34529897199431914;0.013811958879772766;8;1
273;0.3289160509704769;0.013156642038819076;9;2
274;0.34547704059922957;0.01381908162396918;8;1
275;0.34236640664496015;0.013694656265798404;7;0
276;0.29438369330857883;0.011775347732343153;7;0
277;0.3376454910968064;0.013505819643872258;7;0
278;0.34245388891057155;0.013698155556422863;9;2
279;0.32776492994654066;0.013110597197861628;7;0
280;0.3354819028806917;0.013419276115227667;9;2
281;0.3406456010667609;0.013625824042670438;7;0
282;0.3459109607846956;0.013836438431387816;8;1
283;0.3266541726305069;0.013066166905220276;7;0
284;0.3041784207085391;0.012167136828341567;7;0
285;0.3453230173397507;0.013812920693590034;8;1
286;0.33677926735405345;0.013471170694162139;9;2
287;0.33671973293181434;0.013468789317272573;9;2
288;0.33089760526927636;0.013235904210771055;7;0
289;0.3146138034765441;0.012584552139061757;7;0
290;0.34543065402377654;0.013817226160951063;8;1
291;0.3316697947299832;0.013266791789199327;9;2
292;0.345317334428586;0.01381269337714344;8;1
293;0.3067729984201954;0.012270919936807812;7;0
294;0.3200188581250189;0.01280075432500076;7;0
295;0.32430783544889985;0.012972313417955999;7;0
296;0.34558990156763075;0.013823596062705232;8;1
297;0.29553214273259004;0.011821285709303601;7;0
298;0.31820443478666616;0.012728177391466646;7;0
299;0.34556391435581735;0.013822556574232694;8;1
300;0.3409783551754002;0.013639134207016006;7;0
301;0.34575477953135647;0.013830191181254258;8;1
302;0.32297826459756335;0.012919130583902537;7;0
303;0.31254659520331257;0.012501863808132502;7;0
304;0.34444793006294516;0.013777917202517807;7;0
305;0.3379027242275687;0.013516108969102745;9;2
306;0.3455157284508677;0.01382062913803471;8;1
307;0.34567076529752805;0.013826830611901122;8;1
308;0.30950430219212605;0.012380172087685042;7;0
309;0.30919763379191134;0.012367905351676456;7;0
310;0.30653200458147;0.012261280183258805;7;0
311;0.34063561379197554;0.013625424551679022;7;0
312;0.3448229243773559;0.01379291697509424;9;2
313;0.3390567054806978;0.013562268219227907;9;2
314;0.29821280138569073;0.011928512055427627;7;0
315;0.32482505274519907;0.012993002109807963;7;0
316;0.3054915222234907;0.01221966088893963;7;0
317;0.34558827291337185;0.013823530916534871;8;1
318;0.3276748851037944;0.01310699540415178;7;0
319;0.2916107883969354;0.011664431535877413;7;0
320;0.3157705350542879;0.012630821402171519;7;0
